,SST,OA,UV,benthic_str,dem_dest,dem_nondest_hb,dem_nondest_lb,pel_hb,pel_lb,artisanal_fisheries,SLR,fertilizer,pesticide,shipping,light,directimpacts
1990,x,x,,,,,,,,,,,,,,
1991,x,x,,,,,,,,,,,,,,
1992,x,x,,,,,,,,,,,,,,
1993,x,x,,,,,,,,,,,,,,
1994,x,x,,,,,,,,,,,,,,
1995,x,x,,,,,,,,,,,,,,
1996,x,x,,,,,,,,,,,,,,
1997,x,x,,,,,,,,,x,,,,,
1998,x,x,,,,,,,,,x,,,,,
1999,x,x,,,,,,,,,x,,,,,
2000,x,x,,,,,,,,,x,,,,,
2001,x,x,,,,,,,,,x,,,,,
2002,x,x,,,,,,,,check this,x,x,x,,,
2003,x,x,,,x,x,x,x,x,x,x,x,x,,,
2004,x,x,,,x,x,x,x,x,x,x,x,x,,,
2005,x,x,,,x,x,x,x,x,x,x,x,x,,,
2006,x,x,,,x,x,x,x,x,x,x,x,x,,,
2007,x,x,,,x,x,x,x,x,x,x,x,x,,,
2008,x,x,,,x,x,x,x,x,x,x,x,x,,,
2009,x,x,,,x,x,x,x,x,x,x,x,x,,,
2010,x,x,x,,x,x,x,x,x,x,x,x,x,,,
2011,x,x,x,,x,x,x,x,x,x,x,x,x,,,
2012,x,x,x,x,x,x,x,x,x,x,x,x,x,,,
2013,x (estimated),x,x,x,x,x,x,x,x,x,x,x,x,,,
2014,,x,x,x,x,x,x,x,x,x,x,,,,,
2015,,x,x,x,,,,,,,x,,,,,
2016,,x,x,x,,,,,,,x,,,,,
